Strain,tokens
Maramota-10,"['maramota', '10', 'hybrid', 'talkative', 'energetic', 'giggly', 'relaxed', 'sweet', 'berry', 'earthy', 'maramota', '10', 'concoction', 'dj', 'short', 'blueberry', 'mixed', 'cross', 'g13', 'hash', 'plant', 'hybrid', 'irie', 'vibe', 'multifaceted', 'aroma', 'sweet', 'berries', 'earthy', 'hash', 'conjures', 'memories', 'strawberry', 'shortcake', 'heavy', 'yielder', 'maramota', '10', 'good', 'way', 'stimulate', 'appetite', 'help', 'sleep', 'end', 'day']"
Marcosus-Marshmellow,"['marcosus', 'marshmellow', 'hybrid', 'euphoric', 'uplifted', 'happy', 'creative', 'energetic', 'minty', 'sweet', 'berry', 'marcosus', 'marshmellow', 'girl', 'scout', 'cookies', 'phenotype', 'grown', 'remedy', 'cultivation', 'named', 'cloudy', 'white', 'trichomes', 'sticky', 'stinks', 'sweet', 'minty', 'terpenes', 'enjoyable', 'earthy', 'undertone', 'marcosus', 'marhmellow', 'imbues', 'consumers', 'happy', 'relaxing', 'buzz', 'pleasant', 'euphoria', 'help', 'improve', 'mood', 'stimulate', 'appetite', 'assist', 'restlessness']"
Margaret-Cho-G,"['margaret', 'cho', 'g', 'hybrid', 'euphoric', 'focused', 'relaxed', 'talkative', 'uplifted', 'sweet', 'grapefruit', 'honey', 'comedian', 'margaret', 'cho', 'makes', 'cannabis', 'game', 'margaret', 'cho', 'g', 'cut', 'famous', 'og', 'kush', 'available', 'bay', 'area', 'california', 'sweet', 'lemon', 'woody', 'pine', 'sour', 'diesel', 'lead', 'margaret', 'cho', 'g', 'powerfully', 'tranquilizing', 'og', 'kush', 'enthusiast', 'appreciate', 'pairing', 'stand', 'surefire', 'recipe', 'laughing', 'fits', 'giving', 'hybrid', 'reason', 'dubbed', 'margaret', 'cho', 'g']"
Marionberry-Kush,"['marionberry', 'kush', 'hybrid', 'happy', 'relaxed', 'uplifted', 'euphoric', 'creative', 'berry', 'earthy', 'sweet', 'fruit', 'named', 'marionberry', 'kush', 'delicious', 'hybrid', 'heroes', 'farm', 'balanced', 'cross', 'raspberry', 'kush', 'space', 'queen', 'puts', 'spectrum', 'fruity', 'marionberry', 'kush', 'closely', 'resembles', 'genetic', 'sister', 'cinderella', '99', 'main', 'phenotypes', 'marionberry', 'range', 'fruit', 'passionfruit', 'raspberry', 'aroma', 'smooth', 'sweet', 'earthy', 'sour', 'twist', 'pronounced', 'uplift', 'mind', 'immediately', 'slowly', 'relax', 'body', 'putting', 'sleep']"
Marleys-Collie,"['marleys', 'collie', 'hybrid', 'focused', 'aroused', 'hungry', 'tingly', 'relaxed', 'sweet', 'marley', 'collie', 'indica', 'dominant', 'hybrid', 'sensi', 'won', 'dutch', 'high', 'life', 'cup', '1999', 'sticky', 'spiky', 'pungent', 'sweet', 'aroma', 'musky', 'afghan', 'undertones', 'delivering', 'strong', 'physical', 'cerebral', 'sensation', 'indoor', 'outdoor', 'grows', 'expect', 'flowers', '60', '65', 'days']"
Mars-Og,"['mars', 'og', 'indica', 'relaxed', 'sleepy', 'hungry', 'euphoric', 'focused', 'pine', 'woody', 'citrus', 'mars', 'og', 'spacey', 'indica', 'coming', 'california', 'bay', 'area', 'mars', 'og', 'given', 'planetary', 'reference', 'growing', 'conditions', 'planetary', 'refer', 'began', 'indoors', 'moved', 'outdoors', 'complete', 'grow', 'cycle', 'natural', 'conditions', 'end', 'result', 'dense', 'high', 'flower', 'leaf', 'ratio', 'heavy', 'handed', 'body', 'buzz', 'hearty', 'thick', 'taste', 'pungent', 'mars', 'og', 'away', 'pains', 'easily', 'sleep']"
Martian-Candy,"['martian', 'candy', 'hybrid', 'relaxed', 'happy', 'uplifted', 'euphoric', 'talkative', 'sweet', 'woody', 'earthy', 'martian', 'candy', 'known', 'martian', 'candy', 'og', 'indica', 'dominant', 'hybrid', 'aroma', 'world', 'smells', 'rich', 'herbaceous', 'notes', 'hint', 'eucalyptus', 'leans', 'heavily', 'body', 'lowering', 'eyes', 'immediately', 'puff', 'strong', 'body', 'buzz', 'expands', 'gradually', 'relaxing', 'limbs', 'point', 'sedation', 'continued', 'use', 'martian', 'candy', 'ideal', 'patients', 'suffering', 'stress', 'anxiety', 'ptsd', 'nausea']"
Martian-Mean-Green,"['martian', 'mean', 'green', 'hybrid', 'euphoric', 'happy', 'hungry', 'uplifted', 'focused', 'sweet', 'citrus', 'grapefruit', 'combination', 'sharksbreath', 'g13', 'haze', 'martian', 'mean', 'green', 'type', 'c', 'dna', 'genetics', 'flagship', 'super', 'pungent', 'aroma', 'consciousness', 'altering', 'consumers', 'wonder', 'herb', 'came', 'outer', 'space', 'martian', 'mean', 'green', 'sativa', 'dominant', 'hybrid', 'helpful', 'relieving', 'stress']"
Martian-Muffins,"['martian', 'muffins', 'indica', 'martian', 'muffins', 'jahnetics', 'heavy', 'indica', 'famous', 'parents', 'created', 'crossing', 'gsc', 'romulan', 'glittering', 'multi', 'faceted', 'strong', 'bag', 'appeal', 'stronger', 'quick', 'onset', 'deeply', 'relaxing', 'suited', 'consumers', 'suffering', 'stress', 'anxiety', 'aware', 'strong', 'sedating', 'qualities', 'enjoyed', 'large', 'amounts']"
Master-Bubba,"['master', 'bubba', 'indica', 'relaxed', 'euphoric', 'happy', 'uplifted', 'sleepy', 'earthy', 'pungent', 'skunk', 'master', 'bubba', 'perfect', 'looking', 'true', 'indica', 'master', 'kush', 'bubba', 'kush', '-pron-', 'popular', 'treatment', 'pain', 'stress', 'insomnia', 'thanks', 'strong', 'body', 'sedation', 'provides', 'master', 'bubba', 'plants', 'flower', '8', '9', 'weeks', 'smaller', 'dense', 'fruity', 'musky', 'aroma', 'kush', 'earthiness', 'main', 'note', 'smooth', 'potent', 'best', 'evening', 'nightcap']"
Master-Jedi,"['master', 'jedi', 'indica', 'relaxed', 'euphoric', 'creative', 'focused', 'uplifted', 'skunk', 'spicy', 'herbal', 'diesel', 'secret', 'jedis', 'lie', 'powerful', 'plant', 'assume', 'master', 'jedi', 'created', 'galactic', 'republic', 'likely', 'cross', 'master', 'kush', 'jedi', 'kush', 'growing', 'younglings', 'bushy', 'generally', 'high', 'yielders', 'flower', '8', 'weeks', 'distinctly', 'musky', 'aroma', 'kush', 'known', 'kush', 'traits', 'come', 'taste', 'lemony', 'citrus', 'aftertaste', 'indica', 'force', 'strong', 'definitely', 'promotes', 'body', 'relaxation', 'sure', '-pron-', 'ready', 'begin', 'training', 'master', 'jedi', 'jedi', '41', 'backcross']"
Master-Kush,"['master', 'kush', 'indica', 'relaxed', 'happy', 'euphoric', 'sleepy', 'uplifted', 'earthy', 'pungent', 'woody', 'master', 'kush', 'popular', 'indica', 'cross', 'created', 'landrace', 'different', 'parts', 'hindu', 'kush', 'region', 'master', 'kush', 'dutch', 'white', 'label', 'company', 'located', 'amsterdam', 'maturation', 'plant', 'subtle', 'earthy', 'citrus', 'hint', 'incense', 'described', 'vintage', 'taste', 'master', 'kush', 'reminiscent', 'famous', 'hard', 'rubbed', 'charas', 'hash', 'holds', 'superb', 'balance', 'body', 'relaxation', 'mind', 'numbing', 'indica', 'instead', 'master', 'kush', 'sharpened', 'sensory', 'awareness', 'bring', 'best', 'activity']"
Master-Og,"['master', 'og', 'indica', 'relaxed', 'sleepy', 'happy', 'hungry', 'uplifted', 'earthy', 'pine', 'pungent', 'master', 'og', 'indica', 'dominant', 'cabin', 'fever', 'breeders', 'offspring', 'master', 'kush', 'empress', 'kush', 'large', 'dense', 'bend', 'branches', 'weight', 'colorful', 'pine', 'scented', 'flower', 'ideal', 'suffering', 'pain', 'nausea', 'lack', 'sleep']"
Master-Skunk,"['master', 'skunk', 'hybrid', 'relaxed', 'uplifted', 'euphoric', 'happy', 'creative', 'skunk', 'lemon', 'honey', 'master', 'skunk', 'mr', 'nice', 'indica', 'dominant', 'hybrid', 'crosses', 'master', 'kush', 'skunk', '1', 'aroma', 'sweet', 'earthy', 'master', 'kush', 'parent', 'master', 'skunk', 'induces', 'heavy', 'relaxation', 'mind', 'body', 'recommended', 'late', 'night', 'consumption', 'patients', 'treating', 'sharp', 'chronic', 'pain', 'master', 'skunk', 'plants', 'resilient', 'mold', 'resistant', 'flowering', 'time', '7', '9', 'weeks', 'hybrid', 'great', 'choice', 'growers', 'learning', 'horticultural', 'ropes']"
Master-Yoda,"['master', 'yoda', 'hybrid', 'relaxed', 'happy', 'euphoric', 'uplifted', 'focused', 'pungent', 'sweet', 'earthy', 'lab', 'tested', 'thc', 'levels', 'reach', '20', 'strong', 'medicine', 'master', 'yoda', 'brute', 'force', 'original', 'master', 'yoda', 'know', 'sativa', 'indica', 'buzz', 'uplifting', 'balance', 'master', 'yoda', 'clinched', '1st', 'place', 'high', 'times', 'los', 'angeles', 'cannabis', 'cup', '2012', 'og', 'kush', 'master', 'kush', 'cross', 'local', 'favorite', 'growers', 'hybrid', 'resilience', '8', 'flowering', 'time']"
Matanuska-Thunder-Fuck,"['matanuska', 'thunder', 'fuck', 'sativa', 'happy', 'euphoric', 'energetic', 'hungry', 'relaxed', 'earthy', 'woody', 'pungent', 'marijuana', 'hail', 'tropics', 'specific', 'breeding', 'hubs', '-pron-', 'surprise', 'alaskan', 'hybrid', 'celebrates', 'origins', 'developed', 'grown', 'matanuska', 'valley', 'grasslands', 'flowers', 'plants', 'develop', 'frosting', 'icy', 'white', 'hairs', 'bring', 'mind', 'snowy', 'homeland', 'despite', 'rugged', 'roots', 'plants', 'best', 'indoors', 'yield', 'outdoor', 'dry', 'climates', 'experienced', 'grower', 'remain', 'squat', 'size', 'large', 'leaves', 'smells', 'hot', 'chocolate', 'fruit', 'dominate', 'taste', 'matanuska', 'come', 'slowly', 'strong', 'body', 'buzz', 'goes', 'colorful', 'matanuska', 'tundra', 'outside', 'united', 'states']"
Mataro-Blue,"['mataro', 'blue', 'indica', 'relaxed', 'sleepy', 'euphoric', 'hungry', 'tingly', 'berry', 'sweet', 'earthy', 'mataro', 'blue', 'kannabia', 'rare', 'way', 'cross', 'black', 'domina', 'x', 'mazar', 'sharif', 'x', 'blue', 'monster', 'stable', 'high', 'yield', 'producer', 'having', 'flavorful', 'award', 'winning', 'genetics', 'strong', 'medicinal', 'sedate', 'relax', 'consumer', 'helping', 'combat', 'insomnia', 'chronic', 'pain', 'restlessness', 'mataro', 'blue', 'won', '1st', 'place', 'rosin', '2016', 'lift', 'expo', 'toronto', '1st', 'place', 'medical', 'indica', '2012', 'treating', 'expo', 'toronto']"
Matsu,"['matsu', 'indica', 'euphoric', 'tingly', 'happy', 'sleepy', 'hungry']"
Mau-Mau,"['mau', 'mau', 'hybrid', 'uplifted', 'happy', 'creative', 'energetic', 'euphoric', 'mau', 'mau', 'hybrid', 'irie', 'vibe', 'crosses', 'indica', 'dominant', 'blockhead', 'female', 'killer', 'queen', 'male', 'named', 'tribute', 'street', 'artist', 'uk', 'experiencing', 'mau', 'mau', 'decided', 'design', 'original', 'packaging', 'hybrid', 'sturdy', 'easy', 'grow', 'finishing', '8', '9', 'weeks']"
Maui,"['maui', 'sativa', 'relaxed', 'uplifted', 'tingly', 'happy', 'talkative', 'citrus', 'sweet', 'tropical', 'relative', 'hawaiian', 'sativa', 'maui', 'lives', 'tropical', 'reputation', 'musky', 'overtones', 'easy', 'sativa', 'complemented', 'fruity', 'aftertaste', 'floral', 'aroma', 'uplifting', 'sativas', 'maui', 'head', 'heavy', 'delivers', 'slow', 'cerebral', 'sensation', 'prominent', 'time', 'maui', 'medium', 'long', 'duration', 'lasting', '2', 'hours']"
Maui-Berry,"['maui', 'berry', 'hybrid', 'happy', 'creative', 'uplifted', 'hungry', 'energetic', 'berry', 'citrus', 'pungent']"
Maui-Bubble-Gift,"['maui', 'bubble', 'gift', 'hybrid', 'relaxed', 'uplifted', 'happy', 'tingly', 'euphoric', 'sweet', 'citrus', 'pungent', 'maui', 'bubble', 'gift', 'indica', 'dominant', 'hybrid', 'known', 'parent', 'include', 'bubble', 'gum', 'maui', 'wowie', 'god', 'gift', 'hybrid', 'cbd', 'content', 'outweighs', 'thc', 'levels', 'great', 'consumers', 'pain', 'anxiety', 'inflammation', 'mildly', 'psychoactive', 'maui', 'bubble', 'gift', 'delivers', 'soothing', 'relief', 'alongside', 'earthy', 'floral', 'aroma']"
Maui-Citrus-Punch,"['maui', 'citrus', 'punch', 'sativa', 'relaxed', 'energetic', 'uplifted', 'creative', 'euphoric', 'citrus', 'tropical', 'skunk', 'maui', 'citrus', 'punch', 'exquisitely', 'fruity', 'best', 'maui', 'dawg', 'tangelo', 'kush', 'parent', 'come', 'create', 'cross', 'pleasurable', 'nearly', 'senses', 'exhibiting', 'bright', 'citrus', 'notes', 'funky', 'skunky', 'undertones', 'holds', 'citrus', 'slight', 'earthiness', 'slowly', 'morphs', 'high', 'energy', 'euphoria', 'settles', 'body', 'consider', 'enjoying', 'maui', 'citrus', 'punch', 'outdoors', 'aroma', 'draw', 'attention']"
Maui-Haole,"['maui', 'haole', 'hybrid', 'happy', 'creative', 'euphoric', 'aroused', 'sleepy', 'pungent', 'tropical', 'earthy', 'maui', 'haole', 'balanced', 'hybrid', 'sweet', 'tropical', 'maui', 'wowie', 'romulan', 'bodied', 'relaxation', 'pua', 'mana', '1st', 'hawaiian', 'pakalōlō', 'bank', 'maui', 'haole', 'takes', 'powerful', 'influence', 'original', 'romulan', 'joe', 'cut', 'romulan', 'uplifting', 'sativa', 'influence', 'maui', 'wowie', 'genetics', 'sourced', 'lower', 'nāhiku', 'region', 'hawaii', 'haole', 'hawaiian', 'term', 'foreigner', 'native', 'hawaii', 'romulan', 'alien', 'race', 'legendary', 'sci', 'fi', 'series', 'star', 'trek', 'combination', 'leaves', 'maui', 'haole', 'hawaiian', 'alien']"
Maui-Mango-Diesel,"['maui', 'mango', 'diesel', 'hybrid', 'euphoric', 'relaxed', 'uplifted', 'happy', 'creative', 'mango', 'sweet', 'diesel', 'maui', 'mango', 'diesel', 'sativa', 'dominant', 'hybrid', 'maui', 'wowie', 'brooklyn', 'mango', 'pua', 'mana', '1st', 'hawaiian', 'pakalōlō', 'bank', 'maui', 'waui', 'father', 'sourced', 'lower', 'nāhiku', 'maui', 'mother', 'dr', 'underground', 'brooklyn', 'mango', 'combination', 'results', 'flavorful', 'mix', 'sweet', 'mango', 'tropical', 'invigorate', 'senses', 'uplift', 'mood']"
Maui-Pineapple-Chunk,"['maui', 'pineapple', 'chunk', 'hybrid', 'creative', 'euphoric', 'uplifted', 'aroused', 'energetic', 'tropical', 'flowery', 'menthol', 'maui', 'pineapple', 'chunk', '50/50', 'hybrid', 'pua', 'mana', '1st', 'hawaiian', 'pakalōlō', 'bank', 'crossed', 'pineapple', 'chunk', 'nāhiku', 'maui', 'wowie', 'create', 'balanced', 'hawaiian', 'sweet', 'sour', 'tropical', 'reminiscent', 'homeland', 'deliver', 'calm', 'uplifted', 'mindset', 'far', 'away', 'stress']"
Maui-Wowie,"['maui', 'wowie', 'sativa', 'happy', 'uplifted', 'energetic', 'relaxed', 'creative', 'tropical', 'pineapple', 'citrus', 'maui', 'wowie', 'maui', 'waui', 'classic', 'sativa', 'tropical', 'stress', 'relieving', 'qualities', 'float', 'straight', 'shores', 'hawaii', 'originally', 'born', 'raised', 'beginnings', 'island', 'volcanic', 'soil', 'maui', 'wowie', 'spread', 'world', 'bless', 'sweet', 'pineapple', 'high', 'energy', 'euphoria', 'lightweight', 'sativa', 'allow', 'mind', 'drift', 'away', 'creative', 'escapes', 'maui', 'wowie', 'motivating', 'active', 'need', 'outside', 'enjoy', 'sun', 'tall', 'lanky', 'best', 'suited', 'cultivation', 'warm', 'tropical', 'climates', 'mirror', 'homeland', 'bright', 'environment', 'nutrient', 'rich', 'soil', 'typically', 'adequate', 'indoor', 'growth']"
Mazar-I-Sharif,"['mazar', 'sharif', 'indica', 'relaxed', 'sleepy', 'euphoric', 'happy', 'hungry', 'earthy', 'spicy', 'herbal', 'pine', 'legendary', 'grown', 'far', 'north', 'afghanistan', 'fertile', 'irrigated', 'soils', 'vigorous', 'giants', 'capable', 'reaching', '4', 'metres', 'height', 'similarly', 'immense', 'yield', 'intensely', 'resinous', 'flowers', 'indulgence', 'mind', 'warping', 'immobilising', 'narcotic', 'phenotypes', 'described', 'producing', 'potent', 'physical', 'relaxation', 'likely', 'indicative', 'high', 'cbd', 'levels']"
Mazar-Kush,"['mazar', 'kush', 'indica', 'relaxed', 'sleepy', 'happy', 'giggly', 'hungry', 'pungent', 'earthy', 'spicy', 'herbal', 'mazar', 'kush', 'indica', 'dominant', 'hybrid', 'cross', 'afghani', 'mazar', 'sharif', 'age', 'old', 'indica', 'originating', 'afghanistan', 'pakistan', 'region', 'delivers', 'powerfully', 'relaxing', 'body', 'mind', 'good', 'choice', 'late', 'night', 'use', 'work', 'unwinding']"
Mean-Misty,"['mean', 'misty', 'hybrid', 'relaxed', 'uplifted', 'talkative', 'tingly', 'energetic', 'flowery', 'sweet', 'mean', 'misty', 'fruity', 'hybrid', 'quality', 'mental', 'physical', 'brought', 'life', 'genetic', 'cross', 'secret', 'recipe', 'blue', 'dream', 'mean', 'misty', 'emanates', 'strong', 'berry', 'aroma', 'earthy', 'elements', 'speak', 'og', 'heritage', 'sits', 'firmly', 'physical', 'mental', 'gaining', 'effervescent', 'head', 'rush', 'sour', 'diesel', 'secret', 'recipe', 'haze', 'blue', 'dream', 'garnering', 'mid', 'level', 'relaxation', 'abusive', 'og', 'secret', 'recipe', 'blueberry', 'blue', 'dream', 'known', 'push', 'upwards', '20', 'thc', 'mind', 'dosage', 'enjoy', 'care']"
Medihaze,"['medihaze', 'sativa', 'relaxed', 'happy', 'focused', 'uplifted', 'energetic', 'earthy', 'sweet', 'spicy', 'herbal', 'medihaze', 'cbd', 'medi', 'haze', '80/20', 'sativa', 'dominant', 'cbd', 'crew', 'crosses', 'genetics', 'super', 'silver', 'haze', 'neville', 'haze', 'undisclosed', 'cbd', 'rich', 'parent', 'thc', 'cbd', 'ratio', 'typically', 'comes', '1:1', 'doubled', 'cbd', 'content', 'thc', 'cbd', 'synergy', 'provide', 'relief', 'variety', 'symptoms', 'include', 'pain', 'inflammation', 'anxiety', 'pine', 'mint', 'spice', 'aromas', 'burst', 'medihaze', 'fragrant', 'introduction', 'clear', 'headed', 'uplifting']"
Medibud,"['medibud', 'hybrid', 'uplifted', 'relaxed', 'euphoric', 'happy', 'focused', 'sweet', 'earthy', 'skunk', 'medibud', 'medi', 'uplifting', 'hybrid', 'unknown', 'genetic', 'origins', 'attribute', 'upbeat', 'active', 'sativa', 'parentage', 'claim', 'medibud', '60/40', 'indica', 'dominant', 'cross', '-pron-', 'possible', 'expresses', 'phenotypes', 'typically', 'expect', 'high', 'energy', 'euphoria', 'heightened', 'sensory', 'awareness', 'medibud', 'indica', 'leaning', 'phenotypes', 'induce', 'heavier', 'relaxing']"
Medicine-Man,"['medicine', 'man', 'hybrid', 'relaxed', 'uplifted', 'sleepy', 'happy', 'euphoric', 'berry', 'woody', 'earthy', 'medicine', 'man', 'delivers', 'potent', 'pain', 'relief', 'high', 'levels', 'thc', 'cbds', 'popular', 'recommendation', 'medical', 'conditions', 'headaches', 'migraines', 'chronic', 'pain', 'management', 'heritage', 'lies', 'brazilian', 'indian', 'afghani', 'medicine', 'man', 'mistaken', 'close', 'family', 'member', 'white', 'rhino', 'plants', 'require', 'little', 'know', 'grow', 'right', 'large', 'flowers', '8', '10', 'weeks', 'medicine', 'man', 'nice', 'look', 'range', 'greens', 'purples', 'yellow', 'red', 'hairs', 'dense', 'medicine', 'fruity', 'aroma', 'slight', 'sour', 'note', 'strong', 'reaching', 'spoonful', 'sugar']"
Medicine-Woman,"['medicine', 'woman', 'hybrid', 'uplifted', 'happy', 'relaxed', 'euphoric', 'creative', 'earthy', 'citrus', 'diesel', 'medicine', 'woman', '60/40', 'sativa', 'dominant', 'hybrid', 'renowned', 'oregon', 'medical', 'cannabis', 'grower', 'david', 'verstoppen', 'aiming', 'help', 'treat', 'symptoms', 'wife', 'fibromyalgia', 'dave', 'crossed', 'hash', 'plant', 'dynamite', 'g13', 'create', 'potent', 'hybrid', 'measured', '23', 'thc', 'relaxes', 'muscles', 'provides', 'powerful', 'pain', 'relief', 'energetic', 'clear', 'headed', 'high', 'aroma', 'medicine', 'woman', 'sweet', 'skunky', 'tastes', 'sour', 'citrus', 'diesel', 'fuel']"
Medusa,"['medusa', 'hybrid', 'relaxed', 'happy', 'euphoric', 'creative', 'uplifted', 'earthy', 'blueberry', 'pungent', 'medusa', 'mixes', 'smooth', 'sweet', 'earthy', 'aroma', 'fresh', 'blueberries', 'create', 'compelling', 'hybrid', 'misty', 'nirvana', 'developed', 'strong', 'mix', 'sedating', 'body', 'balanced', 'clear', 'cerebral', 'activity', 'medical', 'consumers', 'appreciate', 'medusa', 'ability', 'combat', 'sleep', 'issues', 'body', 'pains']"
Mega-Jackpot,"['mega', 'jackpot', 'hybrid', 'relaxed', 'happy', 'uplifted', 'euphoric', 'hungry', 'berry', 'strawberry', 'grape', 'mega', 'jackpot', 'sativa', 'dominant', 'hybrid', 'mixes', 'genetics', 'jack', 'herer', 'northern', 'lights', 'haze', 'way', 'combination', 'creates', 'potent', 'grape', 'vanilla', 'mega', 'jackpot', 'create', 'cerebral', 'energy', 'incites', 'creativity', 'happiness', 'easiest', 'grow', 'seasoned', 'growers', 'appreciate', 'mega', 'jackpot', 'purple', 'hues', 'thc', 'levels', 'reach', 'upwards', '25']"
Megalodon,"['megalodon', 'sativa', 'uplifted', 'happy', 'hungry', 'creative', 'euphoric', 'skunk', 'pungent', 'earthy', 'megalodon', 'named', 'prehistoric', 'shark', 'sativa', 'dominant', 'trichome', 'rich', 'created', 'crossing', 'great', 'white', 'shark', 'x', 'white', 'widow', 'x', 'snow', 'white', 'alluding', 'dense', 'blanket', 'trichomes', 'coats', 'canadian', 'born', 'smells', 'fresh', 'cut', 'grass', 'skunk', 'megalodon', 'heady', 'uplifting', 'ideal', 'focus', 'creativity', 'shrugging', 'depression', 'pair', 'sunny', 'day', 'best', 'possible', 'results']"
Mekamika-Haze,"['mekamika', 'haze', 'sativa', 'uplifted', 'creative', 'energetic', 'euphoric', 'focused', 'pineapple', 'mango', 'flowery', 'mekamika', 'haze', 'won', 'best', 'sativa', '2015', 'amsterdam', 'unity', 'cup', 'pure', 'landrace', 'sativa', 'hails', 'amazon', 'shares', 'genetics', 'mysterious', 'mango', 'rossa', 'manga', 'rosa', 'brazil', 'bright', 'lanky', 'sativa', 'challenge', 'grow', 'attentive', 'farmers', 'rewarded', 'beautiful', 'tropical', 'citrus', 'mango', 'pungent', 'earthy', 'undertones']"
Melon-Gum,"['melon', 'gum', 'hybrid', 'happy', 'relaxed', 'creative', 'euphoric', 'focused', 'sweet', 'lavender', 'flowery', 'melon', 'gum', 'born', 'crossing', 'lavender', 'bubble', 'gum', 'pass', 'combination', 'fruity', 'vibrant', 'coloration', 'sweet', 'notes', 'melon', 'strawberry', 'lemon', 'come', 'create', 'intricate', 'profile', 'lends', 'melon', 'gum', 'heavy', 'yields', 'following', '50', '57', 'day', 'flowering', 'time', 'indoors', 'outdoor', 'cultivators', 'plan', 'harvest', 'september', 'october', 'transition']"
Memory-Loss,"['memory', 'loss', 'sativa', 'creative', 'uplifted', 'happy', 'euphoric', 'talkative', 'earthy', 'sweet', 'woody', 'memory', 'loss', 'fast', 'finishing', '70', 'sativa', 'hybrid', 'archive', 'bank', 'smells', 'dutch', 'haze', 'strong', 'peppery', 'incense', 'odor', 'undertones', 'bubblegum', 'fruit', 'cross', 'amnesia', 'haze', 'face', 'og', 'male', 'large', 'easy', 'grow', 'plants', 'heavy', 'yields', 'memory', 'loss', 'named', 'mind', 'warping', 'high', 'leave', 'disoriented', 'forgetful', 'mental', 'state']"
Mendo-Afgoo,"['mendo', 'afgoo', 'indica', 'sleepy', 'hungry', 'relaxed', 'uplifted', 'euphoric', 'earthy', 'pungent', 'skunk', 'mendo', 'afgoo', 'unknown', 'cross', 'recently', 'sprouted', 'menus', 'cannabis', 'dispensaries', 'west', 'coast', 'genetics', 'somewhat', 'contested', 'claiming', 'afgooey', 'rebranded', 'inferring', 'parental', 'genetics', 'nomenclature', 'mendocino', 'madness', 'x', 'afghani', 'uplift', 'mind', 'saddling', 'body', 'creeping', 'heaviness', 'mendo', 'afgoo', 'pungent', 'earthy', 'expressing', 'deep', 'green', 'coppery', 'hair', 'stress', 'relieving', 'natural', 'fit', 'end', 'day']"
Mendo-Breath,"['mendo', 'breath', 'indica', 'relaxed', 'euphoric', 'sleepy', 'happy', 'uplifted', 'earthy', 'pungent', 'sweet', 'mendo', 'breath', 'interesting', 'mix', 'ogkb', 'ogkushbreath', 'supposed', 'patriarch', 'cookies', 'fam', 'genetics', 'mendo', 'montage', 'forces', 'combined', 'dense', 'frosty', 'reek', 'sweet', 'vanilla', 'caramel', 'matter', 'good', 'smells', 'save', 'work', 'thumper', 'pivot', 'entire', 'day', 'plans', 'powerful', 'body', 'high', 'built', 'chronic', 'pain', 'discomfort']"
Mendocino-Madness,"['mendocino', 'madness', 'hybrid', 'dry', 'mouth', 'earthy', 'chestnut', 'mendocino', 'madness', 'fastest', 'growing', 'hybrid', 't', 'h', 'catalog', 'speedy', 'generous', 'flower', 'pest', 'resistant', 'cross', 'madness', 'northern', 'california', 't', 'h', 'kwiksilver', 'father', 'mendocino', 'madness', 'expresses', 'purple', 'foliage', 'finishes', 'approximately', 'seven', 'weeks', 'ideal', 'outdoor', 'plant', 'natural', 'insect', 'resistance', 'hybrid', 'fuel', 'stimulated', 'mental', 'state', 'bursts', 'body', 'leaving', 'relaxation', 'limbs', 'enjoy', 'mendocino', 'madness', 'improve', 'mood', 'relinquish', 'stress']"
Mendocino-Purps,"['mendocino', 'purps', 'hybrid', 'relaxed', 'happy', 'euphoric', 'tingly', 'hungry', 'earthy', 'grape', 'flowery', 'mendocino', 'purps', 'mendo', 'purps', 'purps', 'comes', 'mendocino', 'county', 'northern', 'california', 'winning', 'slots', 'high', 'times', 'year', '2007', 'mendocino', 'purps', 'began', 'clone', 'plant', 'bc', 'depot', 'developed', 'stable', 'cross', 'purps', 'available', 'cannabis', 'grows', 'outdoors', 'grow', '3', '4', 'feet', 'harvest', 'indoors', '6', '8', 'feet', 'outdoors', 'flowering', 'time', '8', '9', 'weeks', 'medium', 'thick', 'leaves', 'green', 'hues', 'turn', 'purple', 'plant', 'ripens', 'taste', 'likened', 'caramel', 'coffee', 'woodsy', 'pine']"
Mercury-Og,"['mercury', 'og', 'indica', 'relaxed', 'sleepy', 'euphoric', 'happy', 'hungry', 'pungent', 'earthy', 'woody', 'mercury', 'og', 'potent', 'indica', 'unknown', 'genetics', 'high', 'thc', 'content', 'distinct', 'overwhelming', 'aroma', 'typical', 'og', 'favored', 'powerful', 'provide', 'clarity', 'heightened', 'sensory', 'perception', 'reputed', 'particularly', 'influential', 'listening', 'music', 'uplifting', 'indica', 'heavier', 'appealing', 'experienced', 'desire', 'strong', 'medicinal', 'treatment']"
Merlot-Og,"['merlot', 'og', 'indica', 'relaxed', 'happy', 'uplifted', 'euphoric', 'tingly', 'butter', 'flowery', 'earthy', 'socal', 'cannabis', 'breeders', 'ocean', 'grown', 'originally', 'designed', 'merlot', 'og', '2006', 'attempt', 'create', 'og', 'kush', 'type', 'plant', 'deep', 'purple', 'colors', 'crossing', 'larry', 'og', 'grape', 'ape', 'resulting', 'plant', 'crossed', 'blackberry', 'rhino', 'x', 'sfv', 'og', 'backcrossed', 'stabilize', 'og', 'characteristics', 'merlot', 'og', 'large', 'dense', 'indica', 'type', 'blanketed', 'white', 'trichomes', 'turn', 'dark', 'purple', 'cooler', 'conditions']"
